car_names,mileages,ratings,reviews,used/certified,price_drop,price,recommend,certified
2019 Subaru Crosstrek 2.0i Premium,67935.0,4.7,"(1,997 reviews)",used,764,27988.0,1,0
2016 Dodge Journey SE,12457.0,3.9,(120 reviews),used,1000,16499.0,1,0
2018 Ford Explorer Limited,73281.0,3.5,(261 reviews),used,541,27700.0,1,0
2018 Volkswagen Tiguan 2.0T SE,47237.0,4.0,(2 reviews),used,3100,20388.0,1,0
2021 Jeep Wrangler Unlimited Sahara,95272.0,2.9,(22 reviews),used,546,50998.0,0,0
2019 Audi Q7 45 Premium Plus,12286.0,4.5,"(1,255 reviews)",used,472,45494.0,0,0
2019 INFINITI QX60 Luxe,19924.0,4.5,(8 reviews),used,1000,35998.0,1,0
2022 Kia Telluride SX,46022.0,4.8,(718 reviews),used,170,61095.0,0,0
2019 BMW 540 i,2637.0,3.9,(60 reviews),bmw certified,550,51988.0,1,0
2020 Land Rover Defender 110 HSE,23322.0,4.5,"(1,255 reviews)",used,1502,84394.0,1,0
2019 Volkswagen Atlas 3.6L SEL Premium,15058.0,4.5,(956 reviews),used,1121,39962.0,1,0
2020 Honda CR-V EX,42316.0,3.8,(54 reviews),used,1001,35992.0,1,0
2015 Lexus RX 450h Base,19198.0,4.6,"(1,175 reviews)",used,892,31998.0,1,0
2020 Lexus RX 350 Base,46188.0,4.8,"(1,928 reviews)",used,736,52937.0,1,0
2019 Lexus ES 350 F Sport,16720.0,4.6,"(1,609 reviews)",used,1000,39495.0,1,0
2021 BMW X1 sDrive28i,19472.0,4.6,"(3,551 reviews)",used,200,35881.0,1,0
2021 Nissan Rogue SV,15713.0,4.7,(163 reviews),nissan certified,2100,31999.0,1,0
2018 Toyota Tundra 1794,13907.0,4.7,(758 reviews),used,100,46991.0,0,0
2019 Buick Encore Preferred,47673.0,4.7,(337 reviews),used,670,24500.0,1,0
2021 Acura RDX A-Spec,13876.0,4.7,"(1,358 reviews)",acura certified,954,45567.0,1,0
2019 Lincoln MKC Reserve,23333.0,4.7,"(2,701 reviews)",used,250,31595.0,1,0
2019 Ford Escape SEL,46500.0,4.8,"(2,398 reviews)",used,100,21723.0,1,0
2019 BMW X3 xDrive30i,83787.0,4.7,"(1,712 reviews)",used,1000,39000.0,0,0
2018 Alfa Romeo Stelvio Base,21619.0,4.9,(904 reviews),used,200,27499.0,1,0
2018 Maserati Ghibli S Q4,47764.0,4.7,(170 reviews),used,596,57990.0,1,0
2021 INFINITI QX50 SENSORY,25593.0,4.7,"(1,661 reviews)",infiniti certified,1401,46000.0,1,0
2020 Acura TLX FWD,19609.0,4.7,"(2,727 reviews)",acura certified,2000,31488.0,1,0
2019 INFINITI QX60 Luxe,21194.0,4.9,(818 reviews),used,500,38244.0,0,0
2020 Honda CR-V EX,24701.0,4.9,"(7,396 reviews)",used,9000,33541.0,1,0
2021 RAM 1500 Laramie,20616.0,4.3,"(1,369 reviews)",ram certified,2000,48573.0,1,0
2021 Honda Passport EX-L,15728.0,4.8,(761 reviews),used,560,39795.0,1,0
2019 Chevrolet Trax LS,19753.0,4.8,"(1,636 reviews)",used,3655,19750.0,1,0
2019 Lexus GX 460 Base,41339.0,4.7,"(2,362 reviews)",used,189,46788.0,0,0
2020 Mazda CX-5 Grand Touring,29680.0,4.6,(26 reviews),used,1000,34990.0,1,0
2020 Toyota RAV4 LE,16823.0,1.8,(12 reviews),used,997,31998.0,1,0
2019 Honda CR-V EX,13775.0,4.8,"(3,232 reviews)",honda certified,1000,30795.0,1,0
2021 Tesla Model Y Long Range,17730.0,4.7,"(1,007 reviews)",used,1300,68904.0,1,0
2019 INFINITI QX80 Luxe,15189.0,4.3,"(1,341 reviews)",used,450,48880.0,0,0
2021 Toyota RAV4 LE,36755.0,4.3,(504 reviews),used,200,31590.0,1,0
2019 Toyota Tundra SR5,16880.0,2.3,(16 reviews),used,1862,40998.0,0,0
2020 Lincoln Aviator Reserve RWD,16915.0,4.9,"(12,923 reviews)",used,291,53000.0,0,0
2017 Kia Forte LX,23469.0,4.7,"(1,015 reviews)",used,3000,17995.0,1,0
2020 Mercedes-Benz S-Class S 560 4MATIC,39165.0,4.7,(165 reviews),mercedes-benz certified,500,95998.0,1,0
2020 Acura MDX 3.5L,6040.0,4.6,(273 reviews),used,1276,41790.0,1,0
2019 Hyundai Elantra Value Edition,11961.0,4.8,"(1,112 reviews)",used,540,19987.0,1,0
2019 Tesla Model 3 Standard Range Plus,49043.0,4.6,(327 reviews),used,1000,45995.0,1,0
2021 Ford F-150 Lariat,24333.0,4.8,(152 reviews),used,2001,55280.0,1,0
2019 Ford Mustang GT Premium,18255.0,4.6,(381 reviews),used,1000,40000.0,1,0
2022 Honda Pilot Special Edition,25391.0,4.5,(711 reviews),used,1010,44585.0,1,0
2019 Chevrolet Blazer Premier,3489.0,4.7,(746 reviews),chevrolet certified,400,39990.0,1,0
2018 Mercedes-Benz GLC 300 Base 4MATIC,40444.0,4.4,"(3,022 reviews)",used,1500,37995.0,1,0
2018 Jeep Grand Cherokee Limited,16362.0,4.4,(227 reviews),used,582,28990.0,1,0
2020 BMW X3 xDrive30i,45853.0,4.6,"(1,629 reviews)",used,500,41993.0,0,0
2021 Jeep Grand Cherokee Limited,36987.0,4.7,"(2,701 reviews)",used,3000,39995.0,1,0
2019 BMW 330 i xDrive,22651.0,4.7,(848 reviews),used,500,40981.0,0,0
2020 GMC Acadia Denali,17222.0,4.8,"(1,113 reviews)",used,100,43687.0,0,0
2019 Toyota 4Runner TRD Pro,19986.0,4.5,"(2,457 reviews)",used,201,37998.0,0,0
2019 Buick Encore Preferred,48169.0,4.8,"(1,636 reviews)",used,1000,21000.0,1,0
2019 BMW X4 xDrive30i,49460.0,3.2,(22 reviews),used,999,45990.0,0,0
2017 Cadillac XT5 Luxury,35932.0,4.7,"(1,456 reviews)",used,10000,27901.0,1,0
2020 BMW 330 i,58614.0,4.9,"(2,705 reviews)",bmw certified,500,39813.0,1,0
2019 BMW X1 sDrive28i,21861.0,4.6,(757 reviews),used,1000,31429.0,1,0
2019 Land Rover Range Rover Sport Supercharged Dynamic,36725.0,4.6,(207 reviews),used,2000,89990.0,1,0
2021 Honda Pilot Special Edition,18656.0,3.8,(511 reviews),used,245,42643.0,0,0
2021 Jeep Grand Cherokee Laredo,32693.0,4.2,(126 reviews),used,1500,42496.0,1,0
2020 Ford Edge Titanium,15808.0,4.5,(66 reviews),used,520,39987.0,1,0
2019 Volkswagen Tiguan 2.0T SE,6234.0,4.9,"(2,593 reviews)",volkswagen certified,398,27475.0,1,0
2019 Honda CR-V EX,14395.0,4.2,(420 reviews),used,1000,28200.0,1,0
2019 BMW X3 xDrive30i,43656.0,4.9,"(2,658 reviews)",used,1000,38000.0,1,0
2020 Toyota 4Runner SR5 4WD,39382.0,3.9,(182 reviews),used,778,40917.0,0,0
2022 Toyota Corolla LE,40314.0,4.8,(523 reviews),used,1400,28500.0,1,0
2019 Honda CR-V EX-L,10071.0,4.6,"(4,515 reviews)",used,1000,31801.0,1,0
2021 Mercedes-Benz C-Class C 300 4MATIC,23117.0,4.6,(587 reviews),used,1000,47881.0,1,0
2017 GMC Acadia SLT,11245.0,4.7,"(5,562 reviews)",used,499,28687.0,1,0
2019 Mercedes-Benz C-Class C 300,60333.0,2.5,(55 reviews),mercedes-benz certified,1235,32552.0,1,0
2020 Toyota RAV4 XLE,35293.0,4.8,"(2,387 reviews)",toyota certified,1009,34995.0,1,0
2017 Audi A4 allroad 2.0T Premium,33006.0,4.8,"(1,609 reviews)",used,1300,28000.0,1,0
2014 BMW X5 xDrive35i,63763.0,4.4,(70 reviews),used,1500,24500.0,1,0
2020 Subaru Ascent Limited 7-Passenger,64200.0,2.6,(75 reviews),used,510,37877.0,0,0
2020 Ford F-150 Lariat,23048.0,4.7,"(1,575 reviews)",used,992,47491.0,1,0
2016 BMW X5 xDrive35i,16963.0,3.6,(105 reviews),used,3014,32500.0,1,0
2018 Jeep Grand Cherokee Limited,49097.0,4.7,(871 reviews),used,593,30199.0,1,0
2021 Toyota Highlander XLE,84813.0,4.1,(434 reviews),used,500,44995.0,0,0
2018 Jeep Grand Cherokee Limited,21137.0,4.7,"(1,737 reviews)",used,2678,33997.0,1,0
2020 Honda Pilot EX-L,37070.0,4.8,"(1,045 reviews)",used,1200,38988.0,1,0
2021 Mercedes-Benz C-Class C 300 4MATIC,30528.0,4.6,(587 reviews),used,490,43881.0,0,0
2021 Ford F-150 Lariat,10758.0,4.8,(711 reviews),used,603,61962.0,1,0
2021 GMC Sierra 1500 Denali,14532.0,4.7,(760 reviews),used,1000,64500.0,1,0
2016 INFINITI Q50 3.0T Red Sport 400,22691.0,5.0,(1 review),used,1000,34998.0,1,0
2020 Honda Pilot EX-L,35956.0,4.8,"(1,558 reviews)",used,406,38253.0,0,0
2020 Jeep Grand Cherokee Limited,24014.0,4.8,(383 reviews),used,357,40246.0,0,0
2019 BMW 330 i xDrive,20363.0,4.7,"(2,266 reviews)",used,962,36990.0,1,0
2015 Ford Mustang V6,22201.0,4.0,(20 reviews),used,1490,19995.0,1,0
2019 Toyota Corolla LE,85533.0,5.0,(5 reviews),used,1038,20699.0,1,0
2019 Mercedes-Benz GLC 300 Base 4MATIC,42650.0,3.8,(77 reviews),used,2335,28998.0,1,0
2021 BMW X3 sDrive30i,55151.0,4.5,(956 reviews),bmw certified,600,43762.0,1,0
2020 Nissan Rogue S,23158.0,4.7,(80 reviews),used,1000,24923.0,1,0
2020 Volvo S60 T6 Momentum,39911.0,4.3,(131 reviews),volvo certified,4014,34997.0,1,0
2019 Volvo XC90 T6 R-Design,29305.0,3.4,(127 reviews),used,1789,46981.0,0,0
2019 Nissan Rogue SL,32317.0,4.3,(819 reviews),nissan certified,100,27902.0,1,0
2018 Volvo XC60 T5 Momentum,20371.0,4.7,"(1,680 reviews)",volvo certified,1196,37962.0,1,0
2016 Mercedes-Benz CLA-Class CLA 250 4MATIC,33000.0,3.9,(56 reviews),used,523,19900.0,1,0
2021 Mercedes-Benz GLE 350 Base,62000.0,4.9,(130 reviews),used,1000,68900.0,1,0
2021 Tesla Model 3 Standard Range Plus,11624.0,4.7,(124 reviews),used,302,54042.0,0,0
2019 Lexus RX 350 350,19635.0,4.8,(969 reviews),used,295,45990.0,0,0
2019 BMW 330 i,20811.0,4.5,(97 reviews),used,710,39750.0,1,0
2021 Tesla Model Y Long Range,10198.0,4.6,(800 reviews),used,198,70247.0,0,0
2019 GMC Sierra 1500 Denali,123020.0,4.8,(711 reviews),used,1306,50962.0,0,0
2009 Mercedes-Benz SL-Class SL550 Roadster,41726.0,4.4,(495 reviews),used,380,31489.0,1,0
2021 Toyota RAV4 LE,47689.0,4.6,(775 reviews),toyota certified,118,34891.0,1,0
2019 INFINITI QX80 Luxe,18756.0,4.1,(119 reviews),used,100,41990.0,0,0
2020 Honda Accord LX 1.5T,49921.0,4.5,"(2,758 reviews)",honda certified,718,25900.0,1,0
2017 Toyota Camry SE,13212.0,4.8,(429 reviews),toyota certified,2000,22990.0,1,0
2020 BMW X3 xDrive30i,32725.0,4.8,(711 reviews),bmw certified,500,39880.0,1,0
2015 Chevrolet Suburban 1500 LT,39805.0,4.5,(169 reviews),used,1000,33895.0,1,0
2018 Audi Q5 2.0T Tech Premium,79436.0,4.8,(711 reviews),used,1005,32880.0,1,0
2015 Toyota 4Runner Limited,43412.0,4.8,"(1,710 reviews)",used,3996,28500.0,1,0
2019 BMW 330 i,139576.0,4.5,(348 reviews),bmw certified,777,41995.0,1,0
2019 BMW 330 i,20238.0,4.5,(348 reviews),bmw certified,600,42995.0,1,0
2019 Toyota Sienna SE,22167.0,4.5,(332 reviews),used,2041,33899.0,1,0
2019 Volvo XC60 T5 Momentum,72680.0,4.7,(359 reviews),volvo certified,1000,38395.0,1,0
2019 Mercedes-Benz GLC 300 Base 4MATIC,35306.0,4.7,(263 reviews),used,500,37991.0,0,0
2019 Ford Flex Limited,38790.0,4.2,(68 reviews),used,999,32000.0,1,0
2021 Kia Telluride EX,16715.0,4.9,"(1,228 reviews)",used,800,49000.0,1,0
2019 BMW X4 xDrive30i,13179.0,4.5,(45 reviews),used,600,42995.0,1,0
2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,46113.0,4.4,"(3,076 reviews)",used,1000,58998.0,1,0
2019 BMW X5 xDrive40i,32200.0,4.9,(692 reviews),used,988,52250.0,1,0
2020 Honda Civic LX,40996.0,4.6,"(1,091 reviews)",used,1000,24432.0,1,0
2019 Honda Pilot EX-L,19407.0,4.4,(846 reviews),used,400,35995.0,1,0
2018 Land Rover Discovery HSE LUXURY,19333.0,4.7,(766 reviews),used,500,48998.0,0,0
2017 Dodge Durango GT,47020.0,3.8,(689 reviews),used,961,26999.0,1,0
2020 Toyota RAV4 LE,73117.0,4.7,"(1,022 reviews)",toyota certified,1222,29998.0,1,0
2012 Land Rover Range Rover Supercharged,18453.0,4.5,(965 reviews),used,278,24995.0,1,0
2019 Lexus RX 350 Base,84555.0,4.6,"(2,052 reviews)",used,1000,42691.0,0,0
2019 Land Rover Range Rover 3.0L V6 Supercharged HSE,19564.0,4.6,(33 reviews),used,137,81338.0,0,0
2020 Volvo V60 T5 Momentum,35458.0,4.7,"(1,680 reviews)",volvo certified,1002,48968.0,1,0
2021 Mercedes-Benz AMG GLE 53 AMG GLE 53,20750.0,4.7,(727 reviews),mercedes-benz certified,291,96900.0,1,0
2019 INFINITI QX60 Luxe,15734.0,3.2,(16 reviews),used,100,34998.0,0,0
2020 Mercedes-Benz GLA 250 Base 4MATIC,37215.0,4.0,(59 reviews),mercedes-benz certified,904,31939.0,1,0
2019 Chevrolet Suburban LT,36059.0,4.5,"(1,126 reviews)",used,241,43650.0,0,0
2015 Hyundai Sonata SE,87760.0,4.3,(687 reviews),used,378,9995.0,0,0
2019 GMC Acadia SLE-2,143805.0,4.9,"(3,066 reviews)",used,1021,27495.0,1,0
2021 Subaru Outback Limited,86300.0,4.5,(259 reviews),used,1005,33498.0,1,0
2021 Mercedes-Benz C-Class C 300 4MATIC,19488.0,4.7,(263 reviews),mercedes-benz certified,1999,42993.0,1,0
2019 Honda Pilot EX-L,10757.0,4.8,"(1,131 reviews)",honda certified,3105,36999.0,1,0
2019 Honda CR-V EX-L,48853.0,4.3,(40 reviews),used,500,33995.0,1,0
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,42000.0,4.7,(55 reviews),used,1680,62500.0,1,0
2019 Ford Expedition Limited,49850.0,4.9,"(4,719 reviews)",used,297,48927.0,0,0
2018 Chevrolet Silverado 1500 LT,64044.0,3.6,(31 reviews),used,1000,41460.0,0,0
2017 Land Rover Range Rover Evoque SE Premium,33416.0,4.5,(749 reviews),used,1024,32312.0,1,0
2018 Volkswagen Tiguan 2.0T SE,34814.0,5.0,(2 reviews),used,400,23903.0,1,0
2021 Nissan Altima 2.5 SR,44630.0,5.0,(2 reviews),used,500,22200.0,1,0
2020 Hyundai Tucson Limited,30002.0,5.0,(3 reviews),used,2000,32995.0,1,0
2020 Land Rover Range Rover P525 HSE,19411.0,4.6,(541 reviews),used,2000,106000.0,1,0
2021 Volkswagen Atlas 3.6 V6 SEL Premium,10611.0,4.8,(935 reviews),volkswagen certified,3456,52999.0,1,0
2020 Honda Civic LX,20298.0,4.9,"(1,982 reviews)",used,1000,24900.0,1,0
2016 Ford F-150 XLT,20558.0,4.7,(288 reviews),used,500,29500.0,1,0
2017 Land Rover Range Rover Evoque HSE,105740.0,4.3,(3 reviews),used,200,35998.0,0,0
2021 GMC Yukon XL Denali,45628.0,4.0,(48 reviews),used,1100,89991.0,1,0
2019 Mercedes-Benz CLA 250 Base,11545.0,4.0,(84 reviews),used,960,31999.0,1,0
2018 Lexus GX 460 Base,31830.0,4.8,"(1,195 reviews)",used,1009,44899.0,1,0
2019 Kia Sorento LX,50786.0,3.6,(872 reviews),used,2000,24972.0,1,0
2018 Dodge Durango Citadel,69193.0,4.5,(765 reviews),used,234,32599.0,1,0
2019 BMW 330 i,77316.0,4.7,(846 reviews),bmw certified,147,32981.0,1,0
2020 Ford Expedition Max Limited,49675.0,4.9,"(2,762 reviews)",used,1000,44990.0,1,0
2020 Ford Expedition Max Limited,60541.0,4.9,"(2,762 reviews)",used,500,43990.0,0,0
2021 Tesla Model 3 Standard Range Plus,62830.0,4.6,(110 reviews),used,2000,54600.0,1,0
2021 Mercedes-Benz GLC 300 Base,11733.0,4.5,(615 reviews),used,5000,44470.0,1,0
2021 BMW X3 xDrive30i,12500.0,4.5,(139 reviews),bmw certified,500,46185.0,1,0
2019 Jeep Grand Cherokee Limited,19552.0,4.6,(434 reviews),used,1407,36995.0,1,0
2018 Tesla Model S 75D,31030.0,4.7,"(1,712 reviews)",used,2519,65000.0,1,0
2019 Buick Envision Essence,19492.0,4.8,(542 reviews),buick certified,139,28688.0,1,0
2019 Nissan Rogue SV,44928.0,4.6,(213 reviews),used,331,27229.0,1,0
2019 Genesis G80 3.8,19739.0,4.4,(921 reviews),used,1000,31900.0,1,0
2019 Land Rover Range Rover Sport 3.0L Supercharged HSE,22484.0,4.6,(33 reviews),used,1407,69250.0,1,0
2018 Toyota RAV4 LE,19101.0,4.8,"(1,210 reviews)",toyota certified,500,25983.0,1,0
2021 BMW X7 xDrive40i,40254.0,4.3,"(1,235 reviews)",used,1180,77188.0,1,0
2019 Subaru Ascent Limited 8-Passenger,22763.0,5.0,(1 review),used,2508,33998.0,1,0
2015 Mercedes-Benz E-Class E 350 4MATIC,47643.0,5.0,(5 reviews),used,442,26999.0,1,0
2019 Ford Edge SEL,38679.0,4.7,(18 reviews),used,1000,30599.0,1,0
2013 Ford Explorer XLT,16161.0,4.7,"(1,048 reviews)",used,392,13165.0,1,0
2019 Lincoln MKZ Reserve I,158879.0,4.9,"(1,747 reviews)",used,500,31488.0,0,0
2020 Land Rover Range Rover Sport 3.0L Supercharged HSE,42145.0,4.9,"(4,719 reviews)",used,1710,74377.0,1,0
2016 Mazda CX-5 Sport,17243.0,4.8,"(2,217 reviews)",used,399,17300.0,1,0
2015 Ford Edge Sport,93225.0,4.6,(874 reviews),used,2856,19895.0,1,0
2016 Tesla Model X 90D,92316.0,4.7,"(1,022 reviews)",used,140,49500.0,0,0
2020 Toyota RAV4 LE,133200.0,4.3,(699 reviews),toyota certified,1985,29998.0,1,0
2021 Audi A4 40 Premium,10801.0,4.6,(166 reviews),used,1490,36010.0,1,0
2021 Chevrolet Suburban High Country,10068.0,4.8,(56 reviews),used,570,86901.0,1,0
2019 Toyota RAV4 LE,14610.0,4.9,"(21,777 reviews)",used,941,27799.0,1,0
2017 Nissan Rogue SL,35994.0,4.1,(57 reviews),used,140,23795.0,1,0
2021 Lamborghini Urus Base,57812.0,2.7,(60 reviews),used,800,399998.0,0,0
2017 GMC Acadia SLT-2,25125.0,4.1,(39 reviews),used,598,28611.0,1,0
2019 Lexus RX 350 350 PACKAGE!,82559.0,4.5,(602 reviews),used,1000,44489.0,0,0
2020 Kia Sportage S,30402.0,4.6,(943 reviews),used,500,29956.0,1,0
2019 Honda Pilot Touring 8-Passenger,24759.0,4.5,(343 reviews),used,500,37358.0,0,0
2017 Audi Q5 2.0T Premium Plus,52606.0,4.5,"(2,421 reviews)",used,1320,32900.0,1,0
2021 Hyundai Tucson Value,27561.0,4.8,"(3,280 reviews)",used,591,29997.0,1,0
2019 Jeep Cherokee Latitude Plus,17951.0,4.7,"(1,808 reviews)",used,800,26200.0,1,0
2019 Subaru Forester Premium,39639.0,4.3,(148 reviews),used,1000,29350.0,1,0
2019 BMW X5 xDrive40i,21486.0,4.7,"(1,648 reviews)",used,1598,48998.0,1,0
2019 Honda CR-V EX,62955.0,3.6,(47 reviews),used,415,29590.0,0,0
2019 Hyundai Tucson SE,38430.0,3.4,(13 reviews),used,750,23998.0,1,0
2018 Toyota Camry SE,47068.0,4.6,"(1,360 reviews)",used,1000,27000.0,1,0
2014 Jeep Grand Cherokee Limited,34739.0,4.8,"(1,249 reviews)",used,586,16980.0,1,0
2019 INFINITI QX60 Luxe,151281.0,3.1,(21 reviews),used,780,38998.0,0,0
2019 Lexus ES 350 F Sport,20494.0,4.3,(416 reviews),used,500,41599.0,0,0
2019 Mazda CX-9 Grand Touring,22731.0,4.6,(582 reviews),used,271,37991.0,0,0
2019 GMC Terrain Denali,29811.0,4.7,(446 reviews),used,300,34000.0,1,0
2018 Ford F-150 Lariat,13006.0,4.6,(79 reviews),used,1000,39876.0,1,0
2020 Lexus RX 350 350,80992.0,4.8,(522 reviews),used,700,50495.0,0,0
2020 Mercedes-Benz GLA 250 Base,14162.0,4.6,"(1,129 reviews)",used,2000,34632.0,1,0
2021 Nissan Rogue SV,13316.0,4.4,(576 reviews),used,2003,32298.0,1,0
2018 Jeep Grand Cherokee Limited,15732.0,3.9,(74 reviews),used,977,23789.0,1,0
2019 Mercedes-Benz C-Class C 300,76204.0,4.6,"(1,581 reviews)",used,400,36250.0,1,0
2018 BMW 328d Base,22890.0,4.5,(90 reviews),used,250,28995.0,1,0
2018 Toyota RAV4 LE,36688.0,3.3,(19 reviews),toyota certified,1399,24977.0,1,0
2022 Tesla Model Y Long Range,48080.0,4.7,(908 reviews),used,133,75405.0,0,0
2019 Buick Encore Essence,12731.0,3.9,(41 reviews),buick certified,100,24995.0,1,0
2019 Ford Explorer XLT,38566.0,4.7,"(2,603 reviews)",used,500,31999.0,1,0
2019 Volkswagen Tiguan 2.0T SEL R-Line Black,46517.0,4.5,"(2,520 reviews)",used,3000,29485.0,1,0
2021 Toyota 4Runner TRD Off Road Premium,37550.0,4.9,(832 reviews),toyota certified,2909,48991.0,1,0
2019 Jaguar F-PACE 25t Premium,15799.0,4.8,(451 reviews),used,2000,42245.0,1,0
2019 GMC Sierra 1500 Denali,38124.0,4.0,(831 reviews),used,1000,51500.0,1,0
2021 GMC Sierra 1500 AT4,46373.0,4.6,"(1,241 reviews)",gmc certified,300,62495.0,1,0
2019 Volvo XC60 T5 Momentum,17849.0,4.8,(872 reviews),used,1000,38132.0,1,0
2019 Mercedes-Benz C-Class C 300,21299.0,4.0,(84 reviews),used,496,34599.0,1,0
2019 Volvo XC60 T5 Momentum,42619.0,4.7,(359 reviews),volvo certified,1000,39995.0,1,0
2021 Lexus NX 300 Base,22532.0,4.0,(26 reviews),used,2000,43993.0,1,0
2012 Mercedes-Benz SLK-Class SLK 250,12287.0,4.6,(327 reviews),used,1005,25995.0,1,0
2018 BMW 330 i xDrive,16962.0,3.4,(484 reviews),used,500,23995.0,0,0
2015 Land Rover Range Rover Evoque Pure Plus,53887.0,4.4,(227 reviews),used,500,22990.0,1,0
2017 Volvo XC60 T6 Dynamic,61162.0,4.3,(17 reviews),used,200,29999.0,1,0
2019 Volvo XC60 T5 Inscription,69788.0,4.6,(496 reviews),used,1251,40498.0,1,0
2019 Lexus NX 300h Base,30208.0,4.8,"(1,195 reviews)",used,1000,47989.0,1,0
2020 Toyota Corolla LE,11956.0,2.6,(75 reviews),used,1235,21864.0,1,0
2016 Land Rover Discovery Sport HSE,11702.0,4.7,(226 reviews),used,302,23495.0,1,0
2020 Toyota Supra 3.0 Premium,80890.0,4.7,(61 reviews),used,695,55499.0,0,0
2020 Ford Edge Titanium,23248.0,4.8,"(1,406 reviews)",used,400,36989.0,0,0
2013 Acura RDX Technology,36239.0,4.6,(434 reviews),used,598,18998.0,1,0
2019 Honda Pilot EX-L w/Navigation/RES,60662.0,4.5,(364 reviews),used,778,34999.0,1,0
2021 GMC Acadia Denali,51300.0,4.4,(641 reviews),used,800,48300.0,1,0
2019 Lincoln MKC Reserve,25072.0,4.9,"(1,747 reviews)",used,4000,33488.0,1,0
2019 Kia Sorento EX,13286.0,4.8,(996 reviews),used,500,28249.0,1,0
2019 Honda CR-V EX,60922.0,4.9,"(7,396 reviews)",honda certified,500,31778.0,1,0
2020 Toyota Tacoma SR5,26167.0,4.8,(206 reviews),used,745,38721.0,1,0
2019 BMW X3 sDrive30i,17671.0,4.7,"(1,201 reviews)",used,686,36995.0,1,0
2019 Acura RDX Technology Package,28386.0,4.5,(145 reviews),acura certified,965,41983.0,1,0
2020 Acura RDX Technology Package,51309.0,4.8,"(1,703 reviews)",used,200,42595.0,0,0
2021 Mercedes-Benz GLC 300 4MATIC Coupe,19867.0,4.8,"(2,389 reviews)",used,1023,55200.0,1,0
2019 Toyota Highlander XLE,24210.0,4.8,(304 reviews),used,1389,38535.0,1,0
2020 Ford Fusion SE,16644.0,4.5,"(1,296 reviews)",used,1000,24002.0,1,0
2018 Lexus GX 460 Base,48568.0,4.2,(548 reviews),used,100,37995.0,0,0
2020 Ford Escape SEL,39297.0,4.7,"(1,353 reviews)",ford certified,2000,26200.0,1,0
2012 Cadillac SRX Performance Collection,58074.0,4.6,(204 reviews),used,1000,12968.0,1,0
2019 Volvo XC60 T5 Momentum,147302.0,4.5,(74 reviews),volvo certified,1092,40988.0,1,0
2021 BMW X6 M50i,21845.0,4.5,(811 reviews),used,502,79960.0,1,0
2019 Nissan Rogue SL,25442.0,4.9,"(2,554 reviews)",used,1005,30893.0,1,0
2015 MINI Hardtop Cooper,23568.0,3.4,(50 reviews),used,1000,15000.0,1,0
2008 Acura MDX Technology,81149.0,3.7,(54 reviews),used,362,9999.0,0,0
2014 Lincoln MKZ Base,186600.0,4.2,(846 reviews),used,1129,9499.0,1,0
2020 Toyota RAV4 LE,75578.0,4.6,"(1,767 reviews)",used,621,29750.0,1,0
2019 Honda CR-V EX,20798.0,4.9,(474 reviews),honda certified,386,30064.0,1,0
2018 Ford F-150 Lariat,11931.0,4.8,(613 reviews),used,991,40894.0,1,0
2019 Kia Sorento SX,84071.0,4.9,"(3,455 reviews)",used,500,36013.0,0,0
2018 Mercedes-Benz GLE 350 Base 4MATIC,39721.0,4.2,(63 reviews),used,111,38935.0,0,0
2010 Volkswagen Passat Komfort,48762.0,4.6,"(2,758 reviews)",used,1000,5999.0,1,0
2021 Chevrolet Traverse LT Cloth,100963.0,4.6,"(1,629 reviews)",used,919,41297.0,0,0
2018 BMW X3 xDrive30i,20746.0,4.3,"(5,445 reviews)",used,2091,33995.0,1,0
2019 Volkswagen Tiguan 2.0T SE,52453.0,4.4,(492 reviews),used,500,23792.0,1,0
2020 Nissan GT-R Premium,45995.0,4.7,(848 reviews),used,249,128777.0,0,0
2020 Mercedes-Benz GLE 350 Base 4MATIC,18800.0,4.7,(463 reviews),mercedes-benz certified,1001,53999.0,1,0
2020 Volvo S60 T6 R-Design,14567.0,4.8,"(1,862 reviews)",used,423,36500.0,1,0
2019 Lexus LX 570 570,41746.0,4.1,(610 reviews),used,1000,82999.0,1,0
2021 BMW X5 xDrive40i,33320.0,4.5,(75 reviews),bmw certified,1750,69900.0,1,0
2021 Porsche Macan Base,20483.0,4.7,(75 reviews),used,109,58995.0,0,0
2014 BMW X5 xDrive35i,13756.0,4.7,(146 reviews),used,2070,24891.0,1,0
2019 Toyota Highlander ,85408.0,4.5,(0 reviews),used,336,37811.0,0,0
2021 BMW X3 sDrive30i,44461.0,4.6,(61 reviews),bmw certified,5000,46617.0,1,0
2022 BMW X2 sDrive28i,24483.0,4.9,"(3,551 reviews)",used,699,39775.0,1,0
2018 Ford F-150 Raptor,11642.0,4.6,"(6,653 reviews)",used,1005,58699.0,1,0
2020 RAM 1500 Limited,55804.0,4.5,(770 reviews),used,962,46000.0,1,0
2019 Honda Civic LX,31218.0,3.3,"(2,421 reviews)",honda certified,547,24564.0,1,0
2021 Land Rover Range Rover Sport HSE Silver Edition,32965.0,4.4,(88 reviews),used,1485,74995.0,1,0
2014 Land Rover Range Rover 5.0L Supercharged,31105.0,4.6,(582 reviews),used,571,37882.0,1,0
